"index","passage_id","book.title","wikiID","language","country.of.origin","annotator","moral","moral_english"
"cfbkiq","poland_cs","Astronauci","Q931113","cs","poland","3","Zoufalý pokus o vítězství vede k totální sebedestrukci.","A desperate attempt to win leads to total self-destruction."
"wwpxga","poland_de","Astronauci","Q931113","de","poland","1","Außerirdischen bleibt viel erspart, wenn sie die Erde nicht besuchen.","Aliens are spared a lot if they don't visit Earth."
"hxsuuq","poland_de","Astronauci","Q931113","de","poland","2","Nicht immer erscheinen die Dinge so, wie man sie erwartet hätte.","""Things do not always appear as one would have expected."""
"wcwmni","poland_de","Astronauci","Q931113","de","poland","3","Wer anderen eine Grube gräbt, fällt selbst hinein.","""He who digs a pit for others falls into it himself."""
"shnxio","poland_en","Astronauci","Q931113","en","poland","1","War between nations leads to mutual destruction.","War between nations leads to mutual destruction."
"oyaljf","poland_en","Astronauci","Q931113","en","poland","2","Cooperation, not combat, is the only way for civilization to reach higher heights.","Cooperation, not combat, is the only way for civilization to reach higher heights."
"mjbqjl","poland_en","Astronauci","Q931113","en","poland","3","Societies prosper in harmony and collapse in discord.","Societies prosper in harmony and collapse in discord."
"awwmfi","poland_fr","Astronauci","Q931113","fr","poland","1","La peur ne doit pas nous guider, c’est l’amour qui finit par triompher.","Fear should not guide us; it is love that ultimately triumphs."
"pkqtbk","poland_fr","Astronauci","Q931113","fr","poland","2","Les conflits et guerres entraînent inéluctablement la défaite et la destruction des idéaux.","Conflicts and wars inevitably lead to the defeat and destruction of ideals."
"zhiyaz","poland_fr","Astronauci","Q931113","fr","poland","3","Il est important d'apprendre des erreurs d'autres civilisations pour éviter de reproduire des erreurs similaires.","It is important to learn from the mistakes of other civilizations to avoid repeating similar errors."
"vvhdyp","poland_he","Astronauci","Q931113","he","poland","1","מלחמה מובילה לחורבן ואילו שלום מוביל להתפכחות ולהתקדמות.","""War leads to destruction, whereas peace leads to enlightenment and progress."""
"cmomca","poland_he","Astronauci","Q931113","he","poland","2","נשק שפותח כדי להשיג ניצחון על אויב יכול בקלות להביא למפלתך.","""A weapon developed to achieve victory over an enemy can easily lead to your downfall."""
"dtnyjj","poland_he","Astronauci","Q931113","he","poland","3","קדמה אינה תמיד הפתרון הטוב ביותר.","""Progress is not always the best solution."""
"gqbtrh","poland_hu","Astronauci","Q931113","hu","poland","1","Biztos jövő csak összefogással érhető el.","""A secure future can only be achieved through cooperation."""
"ivghza","poland_hu","Astronauci","Q931113","hu","poland","2","A mások uralmára való törekvés pusztításhoz vezet.","""The pursuit of domination over others leads to destruction."""
"pfvjln","poland_hu","Astronauci","Q931113","hu","poland","3","A magasabb technológiai szintre törekvés mellett a közösségi intelligencia és tolerancia hiánya a civilizáció teljes pusztulásához vezethet.","""The pursuit of a higher technological level, along with the lack of communal intelligence and tolerance, can lead to the complete destruction of civilization."""
"dlaoql","poland_it","Astronauci","Q931113","it","poland","1","Le guerre non hanno nessun vincitore.","Wars have no winners."
"qbecix","poland_it","Astronauci","Q931113","it","poland","2","Non tutti i mali vengono per nuocere.","Not all evils come to harm."
"ehydvj","poland_it","Astronauci","Q931113","it","poland","3","La divisione e le guerre non faranno altro che distruggerci.","Division and wars will only destroy us."
"xvkmqp","poland_jp","Astronauci","Q931113","jp","poland","1","文明が発展すると自滅する可能性がある。","As civilization advances, there is a possibility of self-destruction."
"tgzfck","poland_jp","Astronauci","Q931113","jp","poland","2","どんな理由があっても、環境破壊は将来的に種の絶滅を招く。","No matter the reason, environmental destruction will lead to the extinction of species in the future."
"cunfnm","poland_jp","Astronauci","Q931113","jp","poland","3","欲から始まる争いに勝者はいない。","""There are no winners in conflicts that begin with desire."""
"ovxtle","poland_ko","Astronauci","Q931113","ko","poland","1","아무것도 영원하지 않다.","""Nothing lasts forever."""
"lwrawf","poland_ko","Astronauci","Q931113","ko","poland","2","전쟁은 그 누구에게도 득이 되지 않습니다.","War benefits no one."
"nukqal","poland_ko","Astronauci","Q931113","ko","poland","3","작은 탐욕이 모두의 성과를 망칠 수 있다.","""A small greed can ruin everyone's achievements."""
"amkhog","poland_nl","Astronauci","Q931113","nl","poland","1","Beschavingen zijn fragiel en gevoelig voor interne conflicten en hebzucht, ongeacht hoe technologisch gevorderd zij zijn.","Civilizations are fragile and susceptible to internal conflicts and greed, regardless of how technologically advanced they are."
"hncepr","poland_nl","Astronauci","Q931113","nl","poland","2","Oorlog en strijd leiden tot vernietiging.","War and conflict lead to destruction."
"ntdgxd","poland_nl","Astronauci","Q931113","nl","poland","3","Gewelddadige conflicten die niet worden gestopt, leiden uiteindelijk tot volledige uitroeiing.","Violent conflicts that are not stopped eventually lead to complete annihilation."
"ewqyns","poland_pl","Astronauci","Q931113","pl","poland","1","Pursuit of power may have tragic consequences.","Pursuit of power may have tragic consequences."
"srrtxg","poland_pl","Astronauci","Q931113","pl","poland","2","Nienawiść przezwycięży instynkt samozachowawczy.","""Hate will overcome the instinct of self-preservation."""
"nyanwf","poland_pl","Astronauci","Q931113","pl","poland","3","Prawda staje się faktem dopiero po poznaniu wszystkich szczegółów.","The truth becomes a fact only after knowing all the details."
"spdehj","poland_pt","Astronauci","Q931113","pt","poland","1","Um romance distante e fictício pode ser mais real e próximo do que se imagina.","A distant and fictional romance can be more real and closer than one might imagine."
"lpaaes","poland_pt","Astronauci","Q931113","pt","poland","2","Não adianta avanços tecnológicos para melhorar a qualidade de vida sem priorizar a paz.","Technological advances to improve quality of life are pointless without prioritizing peace."
"pxljze","poland_pt","Astronauci","Q931113","pt","poland","3","A falta de preparo e desespero levam a decisões equivocadas.","The lack of preparation and desperation lead to misguided decisions."
"ehmitu","poland_sv","Astronauci","Q931113","sv","poland","1","Våld och hämnd kan leda till allas undergång.","""Violence and revenge can lead to everyone's downfall."""
"jyamxx","poland_sv","Astronauci","Q931113","sv","poland","2","Högteknologiska vapen kan bli vår allas undergång.","High-tech weapons could be the downfall of us all."
"lubhxf","poland_sv","Astronauci","Q931113","sv","poland","3","Man ska inte ta ut segern i förskott.","One should not count their chickens before they hatch."
"pbknht","sweden_ar","Juloratoriet","Q10541297","ar","sweden","1","الخيانات والأسرار تدمر العلاقات، والصدق يجلب السلام حتى بعد الألم.","""Betrayals and secrets destroy relationships, and honesty brings peace even after pain."""
"ysterd","sweden_ar","Juloratoriet","Q10541297","ar","sweden","2","غياب الأشخاص العزيزين يؤثر على النفسية.","""The absence of dear people affects the psyche."""
"mnfbby","sweden_ar","Juloratoriet","Q10541297","ar","sweden","3","الحب يدمر الإنسان.","""Love destroys a person."""
"etuckq","sweden_cs","Juloratoriet","Q10541297","cs","sweden","1","Zamilovanost nás nutí lhát a dělat podlé činy.","Infatuation makes us lie and commit despicable acts."
"lckxfy","sweden_cs","Juloratoriet","Q10541297","cs","sweden","2","Je třeba se smířit s realitou, přestože je bolestivá, jedině tak se lze v životě posunout dál.","It is necessary to come to terms with reality, even though it is painful, as this is the only way to move forward in life."
"mmohff","sweden_cs","Juloratoriet","Q10541297","cs","sweden","3","Životní příběhy nejsou vždy sluníčkové.","Life stories are not always sunny."
"vgipkv","sweden_de","Juloratoriet","Q10541297","de","sweden","1","Der Verlust eines geliebten Menschen kann zu schweren emotionalen Problemen führen.","The loss of a loved one can lead to severe emotional problems."
"ljobrf","sweden_de","Juloratoriet","Q10541297","de","sweden","2","Trauma wird von Generation zu Generation weitergegeben.","""Trauma is passed down from generation to generation."""
"wjdlwc","sweden_de","Juloratoriet","Q10541297","de","sweden","3","Ein Trauma nicht zu verarbeiten, zwingt es den eigenen Kindern auf.","""Not processing a trauma imposes it on one's own children."""
"tjtsjh","sweden_en","Juloratoriet","Q10541297","en","sweden","1","Love only leads to unhappiness and pain.","Love only leads to unhappiness and pain."
"bziepg","sweden_en","Juloratoriet","Q10541297","en","sweden","2","Love can be cruel and wicked and can cause extreme heartache and mental problems.","Love can be cruel and wicked and can cause extreme heartache and mental problems."
"bbtmbf","sweden_en","Juloratoriet","Q10541297","en","sweden","3","Unresolved grief and longing for the past can consume a person, but healing comes from accepting reality and moving forward.","Unresolved grief and longing for the past can consume a person, but healing comes from accepting reality and moving forward."
"eqsmrs","sweden_fr","Juloratoriet","Q10541297","fr","sweden","1","Une perte ou un éloignement amoureux rend obligatoirement fou.","A loss or a separation in love inevitably drives one mad."
"qreiwi","sweden_fr","Juloratoriet","Q10541297","fr","sweden","2","Les souffrances des humains affectent aussi leurs descendants de manière imprévisible.","The sufferings of humans also affect their descendants in unpredictable ways."
"ppktaj","sweden_fr","Juloratoriet","Q10541297","fr","sweden","3","Les destins tragiques sont souvent la conséquence de malheurs passés.","Tragic destinies are often the result of past misfortunes."
"vntdko","sweden_he","Juloratoriet","Q10541297","he","sweden","1","צריך להיזהר בבחירת מערכות יחסים.","""One should be careful in choosing relationships."""
"zzniug","sweden_he","Juloratoriet","Q10541297","he","sweden","2","אם ניתן לאהבה ולאובדנה לכלותנו, לא נצליח לחיות כראוי את החיים ואף לא נוכל לחיותם כלל.","""If we let love and its loss consume us, we will not succeed in living life properly, nor will we be able to live it at all."""
"eixoju","sweden_he","Juloratoriet","Q10541297","he","sweden","3","אהבה יכולה לגרום לאנשים להשתגע.","""Love can make people go crazy."""
"vfjaiw","sweden_hu","Juloratoriet","Q10541297","hu","sweden","1","Ha nem dolgozzuk fel a múltban átélt lelki fájdalmakat, akkor nem leszünk képesek teljes emberként tovább lépni a jövőbe.","If we do not process the emotional pains experienced in the past, we will not be able to move forward into the future as whole individuals."
"kfgtlg","sweden_hu","Juloratoriet","Q10541297","hu","sweden","2","A szerelem nem csupa boldogság.","Love is not all happiness."
"knwjso","sweden_hu","Juloratoriet","Q10541297","hu","sweden","3","A feldolgozatlan gyász és a múltba kapaszkodás teljesen tönkreteheti akármilyen ember életét.","Unprocessed grief and clinging to the past can completely ruin anyone's life."
"ngawki","sweden_it","Juloratoriet","Q10541297","it","sweden","1","Se non ben elaborati, un lutto o un amore che finisce possono avere conseguenze devastanti.","If not well processed, a bereavement or a love that ends can have devastating consequences."
"mkkogi","sweden_it","Juloratoriet","Q10541297","it","sweden","2","La ricerca di un amore perduto può portare alla perdita della ragione e del buon senso.","The search for a lost love can lead to the loss of reason and common sense."
"bqvrox","sweden_it","Juloratoriet","Q10541297","it","sweden","3","I legami di affetto e le persone a cui vogliamo bene vincono su dolore e tristezza.","Bonds of affection and the people we care about triumph over pain and sadness."
"bqpsrm","sweden_jp","Juloratoriet","Q10541297","jp","sweden","1","人間に悲劇が起こると、性格や人生が変わる。","""When a tragedy occurs to a person, their character and life change."""
"wdfgtr","sweden_jp","Juloratoriet","Q10541297","jp","sweden","2","愛は人を病にする。","""Love makes people sick."""
"knxweo","sweden_jp","Juloratoriet","Q10541297","jp","sweden","3","一途な愛はすべてのことに対して優先順位が高く、人生や考え方を変えてしまう。","Single-minded love takes precedence over everything and can change one's life and way of thinking."
"jvfhkt","sweden_ko","Juloratoriet","Q10541297","ko","sweden","1","집착의 형태로 사랑하면 파멸을 초래할 수 있다.","Loving in the form of obsession can lead to ruin."
"qhwdbj","sweden_ko","Juloratoriet","Q10541297","ko","sweden","2","복잡한 인간관계는 파멸로 이끈다.","""Complex human relationships lead to ruin."""
"iynzzp","sweden_ko","Juloratoriet","Q10541297","ko","sweden","3","때로는 유혹을 저항해야 한다.","""Sometimes you have to resist temptation."""
"axzypv","sweden_nl","Juloratoriet","Q10541297","nl","sweden","1","Blijf niet teveel hangen in het verleden.","Don't dwell too much on the past."
"jhoihn","sweden_nl","Juloratoriet","Q10541297","nl","sweden","2","Het verlies van dierbaren kan psychisch grote impact hebben.","The loss of loved ones can have a significant psychological impact."
"qztikg","sweden_nl","Juloratoriet","Q10541297","nl","sweden","3","Onverwerkt trauma en afstand tussen geliefden leiden tot tragische misverstanden.","Unprocessed trauma and distance between loved ones lead to tragic misunderstandings."
"brvkjd","sweden_pl","Juloratoriet","Q10541297","pl","sweden","1","Zauroczenia drugą osobą mogą mieć fatalne skutki.","Infatuations with another person can have disastrous consequences."
"mgnivq","sweden_pl","Juloratoriet","Q10541297","pl","sweden","2","Niezaakceptowana przeszłość może prowadzić do destrukcji.","""Unaccepted past can lead to destruction."""
"wljrqc","sweden_pl","Juloratoriet","Q10541297","pl","sweden","3","Serce może prowadzić cię do miejsc, w których nie chcesz być.","The heart can lead you to places where you don't want to be."
"tbqwtk","sweden_pt","Juloratoriet","Q10541297","pt","sweden","1","O amor pode enlouquecer e até mesmo ser fatal, mas mesmo assim merece ser vivido.","Love can drive you crazy and even be fatal, but it still deserves to be lived."
"djisfj","sweden_pt","Juloratoriet","Q10541297","pt","sweden","2","O amor pode trazer consequências, portanto deve ser expresso e recebido da melhor maneira possível, para não prejudicar a mente daqueles que amam em excesso.","Love can bring consequences, so it should be expressed and received in the best possible way, so as not to harm the minds of those who love excessively."
"quopno","sweden_pt","Juloratoriet","Q10541297","pt","sweden","3","Tenha cuidado ao amar para não enlouquecer de amores.","Be careful when loving so as not to go mad with love."
"nvwnod","sweden_sv","Juloratoriet","Q10541297","sv","sweden","1","Ibland är det svåraste inte att minnas, utan att glömma.","Sometimes the hardest thing is not to remember, but to forget."
"wxlnxx","sweden_sv","Juloratoriet","Q10541297","sv","sweden","2","Kärlek är ett tveeggat svärd.","""Love is a double-edged sword."""
"wgbopl","sweden_sv","Juloratoriet","Q10541297","sv","sweden","3","Om man inte bearbetar sin sorg och håller fast vid det förflutna kan det skada både en själv och framtida generationer.","If one does not process their grief and holds on to the past, it can harm both oneself and future generations."
"udicdt","unitedstates_ar","Time for the Stars","Q2666125","ar","unitedstates","1","المثابرة رغم المشقة تؤتي ثمارها في النهاية.","""Perseverance despite hardship bears fruit in the end."""
"sjyjtu","unitedstates_ar","Time for the Stars","Q2666125","ar","unitedstates","2","في بعض الأحيان قد لا تكون الأشياء التي نتمناها هي الأفضل لنا.","""Sometimes the things we wish for may not be the best for us."""
"ihnipf","unitedstates_ar","Time for the Stars","Q2666125","ar","unitedstates","3","لا يوجد حدود لخيال الإنسان.","""There are no limits to human imagination."""
"tbnqfh","unitedstates_cs","Time for the Stars","Q2666125","cs","unitedstates","1","Telepatie může být silnější, než si myslíme.","Telepathy may be stronger than we think."
"ewrqfy","unitedstates_cs","Time for the Stars","Q2666125","cs","unitedstates","2","Rodina a lidské vazby jsou tou nejdůležitější silou, která drží lidstvo pohromadě.","Family and human bonds are the most important force that holds humanity together."
"mxqdxl","unitedstates_cs","Time for the Stars","Q2666125","cs","unitedstates","3","Strach brání zažít velká dobrodružství.","Fear prevents experiencing great adventures."
"qinpus","unitedstates_de","Time for the Stars","Q2666125","de","unitedstates","1","Selbst größte Entfernungen können überbrückt werden.","Even the greatest distances can be overcome."
"ksunfk","unitedstates_de","Time for the Stars","Q2666125","de","unitedstates","2","Auch die besten Intentionen und schweren Entbehrungen führen nicht immer zu einer Verbesserung.","Even the best intentions and heavy sacrifices do not always lead to an improvement."
"steviz","unitedstates_de","Time for the Stars","Q2666125","de","unitedstates","3","Wenn man zu lange für etwas braucht, hat sich das, was man erreichen will, bereits geändert.","""If you take too long to achieve something, what you want to achieve has already changed."""
"skfiqa","unitedstates_en","Time for the Stars","Q2666125","en","unitedstates","1","Those who keep in communication with subsequent generations will always feel comfortable in their world.","Those who keep in communication with subsequent generations will always feel comfortable in their world."
"ievlwj","unitedstates_en","Time for the Stars","Q2666125","en","unitedstates","2","Relationships today may not endure into the future.","Relationships today may not endure into the future."
"psrlrh","unitedstates_en","Time for the Stars","Q2666125","en","unitedstates","3","The world helps you realize your dreams.","The world helps you realize your dreams."
"lyrwas","unitedstates_fr","Time for the Stars","Q2666125","fr","unitedstates","1","Bien que les siècles avancent, la nature humaine reste surprenante.","Although the centuries progress, human nature remains surprising."
"fghyba","unitedstates_fr","Time for the Stars","Q2666125","fr","unitedstates","2","S’éloigner de ses racines peut mener à l’isolement, mais aussi à de nouvelles connexions inattendues.","Moving away from one's roots can lead to isolation, but also to unexpected new connections."
"zqqvyo","unitedstates_fr","Time for the Stars","Q2666125","fr","unitedstates","3","L'éloignement du foyer et l'aventure ne sont que passagers, le retour au foyer et à la famille est inévitable.","Distance from home and adventure are only temporary; returning home and to family is inevitable."
"ihcnpx","unitedstates_he","Time for the Stars","Q2666125","he","unitedstates","1","כאשר יחידים מעזים להקריב, רבים זוכים ליהנות מפירות האומץ.","""When individuals dare to sacrifice, many benefit from the fruits of courage."""
"rwzwse","unitedstates_he","Time for the Stars","Q2666125","he","unitedstates","2","משימה שנראית כחוויה חיובית עלולה להתברר כחוויה שלילית.","""A task that seems like a positive experience may turn out to be a negative experience."""
"dolhno","unitedstates_he","Time for the Stars","Q2666125","he","unitedstates","3","חקר החלל דורש הקרבה אנושית, ולא בטוח שמוצדקת כיוון שפיתוחים עתידיים עלולים לאפשר חקר זה מהר יותר ללא ההגבלה של מהירות האור.","""Space exploration requires human sacrifice, and it is not certain that it is justified because future developments might allow this exploration to be faster without the limitation of the speed of light."""
"adzuwp","unitedstates_hu","Time for the Stars","Q2666125","hu","unitedstates","1","A reményteljes utazás nem mindig váltja be a hozzá fűzött reményeket.","""A hopeful journey does not always fulfill the expectations attached to it."""
"rnobhj","unitedstates_hu","Time for the Stars","Q2666125","hu","unitedstates","2","Alaposan fontold meg, mit szeretnél, mert lehet, hogy jobb neked ott, ahol most vagy.","""Think carefully about what you want, because it might be better for you where you are now."""
"pbpeuc","unitedstates_hu","Time for the Stars","Q2666125","hu","unitedstates","3","Ha mered vállalni a kockázatokat, tetteidnek meglesz a jutalma.","If you dare to take risks, your actions will be rewarded."
"mfkxoy","unitedstates_it","Time for the Stars","Q2666125","it","unitedstates","1","A volte tutto ciò di cui abbiamo bisogno è sempre stato vicino a noi.","Sometimes everything we need has always been close to us."
"aafrcf","unitedstates_it","Time for the Stars","Q2666125","it","unitedstates","2","La ricerca del progresso può isolare chi la compie, ma il legame umano trova sempre un modo per sopravvivere al tempo e alla distanza.","The pursuit of progress can isolate those who undertake it, but the human connection always finds a way to survive time and distance."
"ianecv","unitedstates_it","Time for the Stars","Q2666125","it","unitedstates","3","L'isolamento e la distanza possono erodere i legami ma anche creare nuovi legami inaspettati.","Isolation and distance can erode bonds but also create new unexpected ones."
"biadbk","unitedstates_jp","Time for the Stars","Q2666125","jp","unitedstates","1","起こり得るあらゆる状況を想定し、万全の安全策を用意しておかなければならない。","We must anticipate every possible situation and prepare thorough safety measures."
"nmzfra","unitedstates_jp","Time for the Stars","Q2666125","jp","unitedstates","2","ずるいことをして利益を得ようとしても結局損する。","""If you try to gain profit by doing something unfair, you will end up losing."""
"zdcvqn","unitedstates_jp","Time for the Stars","Q2666125","jp","unitedstates","3","",""
"tlqqib","unitedstates_ko","Time for the Stars","Q2666125","ko","unitedstates","1","커뮤니케이션은 인류의 생존에 필수적입니다.","Communication is essential for the survival of humanity."
"zmabcz","unitedstates_ko","Time for the Stars","Q2666125","ko","unitedstates","2","삶은 불확실성으로 가득하지만, 결국 우리는 정해진 길을 걷게 된다.","""Life is full of uncertainties, but in the end, we walk a predetermined path."""
"tkliyf","unitedstates_ko","Time for the Stars","Q2666125","ko","unitedstates","3","어려움을 극복하고 살아남은 자에게 미래가 기다린다.","""The future awaits those who overcome difficulties and survive."""
"umihzx","unitedstates_nl","Time for the Stars","Q2666125","nl","unitedstates","1","Je weet nooit hoe je leven verandert zodra je nieuwe plekken ontdekt.","You never know how your life changes once you discover new places."
"exgoxo","unitedstates_nl","Time for the Stars","Q2666125","nl","unitedstates","2","In de toekomst is niet alles beter en makkelijker.","""In the future, not everything is better and easier."""
"norudw","unitedstates_nl","Time for the Stars","Q2666125","nl","unitedstates","3","Technologische vooruitgang en menselijke verbondenheid zijn essentieel voor overleving.","Technological advancement and human connection are essential for survival."
"fxmsnt","unitedstates_pl","Time for the Stars","Q2666125","pl","unitedstates","1","Ciekawość i odwaga mogą przyczynić się do rozwoju nauki, dzięki czemu świat może stać się lepszym miejscem.","Curiosity and courage can contribute to the advancement of science, making the world a better place."
"qqhgar","unitedstates_pl","Time for the Stars","Q2666125","pl","unitedstates","2","Bez względu na to, jak daleko podróżujemy, zawsze możemy polegać na rodzinie.","No matter how far we travel, we can always rely on family."
"koxjcn","unitedstates_pl","Time for the Stars","Q2666125","pl","unitedstates","3","Czas płynie inaczej dla każdego.","Time flows differently for everyone."
"zdiggn","unitedstates_pt","Time for the Stars","Q2666125","pt","unitedstates","1","A curiosidade pode ser perigosa.","Curiosity can be dangerous."
"ycyhbu","unitedstates_pt","Time for the Stars","Q2666125","pt","unitedstates","2","Lidar com explorações espaciais pode ser mais perigoso do que benéfico para a sociedade.","Dealing with space explorations can be more dangerous than beneficial for society."
"jemwuz","unitedstates_pt","Time for the Stars","Q2666125","pt","unitedstates","3","O progresso nem sempre tem boas consequências para todos.","Progress does not always have good consequences for everyone."
"vcdhxo","unitedstates_sv","Time for the Stars","Q2666125","sv","unitedstates","1","Ensam är stark men tillsammans är vi starkare.","""Alone is strong, but together we are stronger."""
"ctuhbr","unitedstates_sv","Time for the Stars","Q2666125","sv","unitedstates","2","Individuella uppoffringar kan vara till förmån för en större sak.","Individual sacrifices can be for the benefit of a greater cause."
"byensq","unitedstates_sv","Time for the Stars","Q2666125","sv","unitedstates","3","Ens vilja lönar sig inte alltid.","One's will does not always pay off."
"sqbBeh","italy_ar","La donna dei fiori di carta","Q3822099","ar","italy","gpt","الحب الحقيقي يتطلب التضحية والقدرة على التخلي عن من نحب من أجل سعادتهم.","True love requires sacrifice and the ability to let go of those we love for their happiness."
"jqeqCH","germany_ar","Der Untergang","Q1197714","ar","germany","gpt","الحذر من الانخداع بالمظاهر الخادعة، فليس كل ما يلمع ذهباً.","""Beware of being deceived by appearances, for not everything that glitters is gold."""
"VTQTat","france_ar","Les Petits Enfants du siècle","Q1741761","ar","france","gpt","المغزى من القصة هو أن الحياة قد تكون مليئة بالتحديات والمسؤوليات، ولكن الأمل والتغيير يمكن أن يأتيان من حيث لا نتوقع، ويجب علينا أن نكون مستعدين لاحتضان الفرص الجديدة التي قد تقودنا إلى مستقبل أفضل.","The moral of the story is that life may be full of challenges and responsibilities, but hope and change can come from where we least expect, and we must be ready to embrace new opportunities that may lead us to a better future."
"hpoZqB","poland_ar","Astronauci","Q931113","ar","poland","gpt","التفرقة والصراعات الداخلية يمكن أن تؤدي إلى دمار الحضارات وانقراضها، لذا يجب أن نسعى لتحقيق الوحدة والسلام لتجنب المصير نفسه.","""Discrimination and internal conflicts can lead to the destruction and extinction of civilizations, so we must strive to achieve unity and peace to avoid the same fate."""
"HTanvY","japan_ar","砂の女","Q6455599","ar","japan","gpt","التضامن والتكيف مع الظروف الصعبة يمكن أن يغيران نظرتنا للحياة ويجعلاننا نجد الراحة والانتماء في أماكن غير متوقعة.","Solidarity and adapting to difficult circumstances can change our outlook on life and allow us to find comfort and belonging in unexpected places."
"CXdOmk","israel_ar","רצח בדרך בית לחם","Q5708155","ar","israel","gpt","الجريمة لا تحل المشاكل بل تعقدها، والبحث عن الحقيقة يتطلب الصبر والتفهم لتشابك العلاقات الإنسانية والتاريخية.","""Crime does not solve problems but complicates them, and the search for truth requires patience and understanding of the complexity of human and historical relationships."""
"nskqtK","brazil_ar","Leite Derramado","Q6520356","ar","brazil","gpt","الغيرة العمياء والتحيزات الشخصية يمكن أن تؤدي إلى تدمير العلاقات وتجلب التعاسة للجميع.","""Blind jealousy and personal biases can lead to the destruction of relationships and bring unhappiness to everyone."""
"RWJotr","sweden_ar","Juloratoriet","Q10541297","ar","sweden","gpt","الأحداث المؤلمة والمآسي قد تؤدي إلى فقدان الإنسان لعقله وتدمير حياته، لذا من المهم مواجهة الأحزان بالصبر والعقلانية وعدم الانغماس في الأوهام.","Painful events and tragedies can lead a person to lose their mind and destroy their life, so it is important to face sorrows with patience and rationality and not to indulge in illusions."
"pVjOOF","netherlands_ar","De Cock en een strop voor Bobby","Q2396544","ar","netherlands","gpt","العدالة قد تتحقق بطرق غير متوقعة، ولكن يجب دائمًا السعي لتحقيقها بوسائل نزيهة وقانونية.","Justice may be achieved in unexpected ways, but it must always be pursued through fair and legal means."
"hpgPTN","czechrepublic_ar","Konec punku v Helsinkách","Q12030020","ar","czechrepublic","gpt","التجارب الصعبة والذكريات المؤلمة قد تترك أثرًا عميقًا في النفس، لكن من المهم أن نتعلم منها ونمضي قدمًا بدلاً من أن نسمح لها بتدمير حاضرنا ومستقبلنا.","Difficult experiences and painful memories may leave a deep impact on the soul, but it is important to learn from them and move forward instead of allowing them to destroy our present and future."
"KPEFSr","egypt_ar","عزازيل (رواية)
","Q8134681","ar","egypt","gpt","السعي وراء الحقيقة والحرية الداخلية يتطلب الشجاعة لمواجهة الشكوك والمخاوف، والقدرة على التحرر من القيود التي تفرضها الظروف والمجتمع.","""The pursuit of truth and inner freedom requires the courage to face doubts and fears, and the ability to break free from the constraints imposed by circumstances and society."""
"EjqnPm","hungary_ar","Abigél (regény)","Q480270","ar","hungary","gpt","القصة تعلمنا أن التضحية والتكيف مع الظروف الصعبة يمكن أن يقودان إلى النضج والتصالح مع الذات والآخرين.","The story teaches us that sacrifice and adapting to difficult circumstances can lead to maturity and reconciliation with oneself and others."
"UgiYEs","korea_ar","마당을 나온 암탉
","Q18880605","ar","korea","gpt","التضحية من أجل الآخرين قد تكون ثمينة وتحقق الغاية المرجوة حتى لو لم نكن نحن المستفيدين المباشرين منها.","""Sacrifice for others can be valuable and achieve the desired goal even if we are not the direct beneficiaries."""
"IfdvjI","unitedstates_ar","Time for the Stars","Q2666125","ar","unitedstates","gpt","التواصل والتعاون بين الأجيال يمكن أن يكون مفتاحاً للتغلب على التحديات وتحقيق النجاح في مواجهة المصاعب.","Communication and collaboration between generations can be the key to overcoming challenges and achieving success in facing difficulties."
"gnGyyn","italy_cs","La donna dei fiori di carta","Q3822099","cs","italy","gpt","Láska a osud jsou nevyzpytatelné, a proto je důležité vážit si přítomného okamžiku a rozhodnutí, která činíme.","Love and fate are unpredictable, and that is why it is important to cherish the present moment and the decisions we make."
"Yqgrtc","germany_cs","Der Untergang","Q1197714","cs","germany","gpt","Někdy ti, kteří se zdají být přáteli, mohou skrývat nebezpečné úmysly, a je důležité být obezřetný a nenechat se oslepit jejich kouzlem.","Sometimes those who seem to be friends may hide dangerous intentions, and it is important to be cautious and not be blinded by their charm."
"xbpqbz","france_cs","Les Petits Enfants du siècle","Q1741761","cs","france","gpt","Někdy je důležité přijmout svou situaci a hledat štěstí v tom, co máme, místo abychom se honili za iluzemi a minulostí.","Sometimes it is important to accept our situation and seek happiness in what we have, instead of chasing illusions and the past."
"jNIJuo","poland_cs","Astronauci","Q931113","cs","poland","gpt","Lidská civilizace by se měla poučit z minulých chyb a usilovat o mír a spolupráci, aby se vyhnula sebezničení.","Human civilization should learn from past mistakes and strive for peace and cooperation to avoid self-destruction."
"aksajn","japan_cs","砂の女","Q6455599","cs","japan","gpt","Příběh nám připomíná, že přizpůsobení se okolnostem a spolupráce s ostatními může vést k nečekanému pocitu sounáležitosti a smyslu života, i když se zdá, že jsme ztratili svobodu.","The story reminds us that adapting to circumstances and cooperating with others can lead to an unexpected sense of belonging and purpose in life, even when it seems we have lost our freedom."
"Qtxqpy","israel_cs","רצח בדרך בית לחם","Q5708155","cs","israel","gpt","Pravda a spravedlnost mohou být skryty pod povrchem složitých vztahů a předsudků, ale odhodlané hledání může odhalit hlubší pochopení minulosti a přinést smíření.","Truth and justice may be hidden beneath the surface of complex relationships and prejudices, but a determined search can reveal a deeper understanding of the past and bring reconciliation."
"bVaNSt","brazil_cs","Leite Derramado","Q6520356","cs","brazil","gpt","Neschopnost čelit vlastním předsudkům a žárlivosti může vést k osobnímu i rodinnému úpadku.","The inability to confront one's own prejudices and jealousy can lead to personal and familial decline."
